date,excess_deaths,country,lat,long,daylength,gdaylength
2022-11,16.9,Germany,40.4203479,-79.1166983,10.8835722809335,0.0278320433691016
2022-12,39,Germany,40.4203479,-79.1166983,10.3605149396988,0.00450548860456157
2023-01,14.8,Germany,40.4203479,-79.1166983,10.6246634945499,-0.0214279548204954
2023-02,-0.3,Germany,40.4203479,-79.1166983,11.5106171892817,-0.0378146503312029
2023-03,5.4,Germany,40.4203479,-79.1166983,12.7517332817095,-0.0452324712750946
2023-04,11.2,Germany,40.4203479,-79.1166983,14.1572205648347,-0.0455873429599914
2023-05,9.6,Germany,40.4203479,-79.1166983,15.4203648001642,-0.03437107831877
2023-06,8.5,Germany,40.4203479,-79.1166983,16.1010839481016,-0.00673449700170479
2023-07,1.9,Germany,40.4203479,-79.1166983,15.8123398964603,0.0252700055552337
2023-08,5.2,Germany,40.4203479,-79.1166983,14.7149318962665,0.0430909632331885
2023-09,7.3,Germany,40.4203479,-79.1166983,13.326956054983,0.0463157971767423
2020-01,-9.5,Estonia,58.7523778,25.3319078,8.72410396636525,-0.0452466175776335
2020-02,-5.7,Estonia,58.7523778,25.3319078,10.5744926851538,-0.0754127469024753
2020-03,-0.9,Estonia,58.7523778,25.3319078,13.0546250889693,-0.0887243006547289
2020-04,5,Estonia,58.7523778,25.3319078,15.889401302782,-0.0968490521734953
2020-05,1.2,Estonia,58.7523778,25.3319078,18.8478617631016,-0.0845092323955322
2020-06,1.9,Estonia,58.7523778,25.3319078,20.0600036670586,0
2020-07,3.6,Estonia,58.7523778,25.3319078,19.6097409291518,0.0534080046871757
2020-08,4.1,Estonia,58.7523778,25.3319078,16.9194453643212,0.0981690342986091
2020-09,7.3,Estonia,58.7523778,25.3319078,14.0056869223129,0.0916579546895657
2020-10,0.7,Estonia,58.7523778,25.3319078,11.3613530089441,0.0804169568647339
2020-11,5.8,Estonia,58.7523778,25.3319078,9.2078612231386,0.0564437590858366
2020-12,13.6,Estonia,58.7523778,25.3319078,8.14790279290611,0.00796298985085042
